Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Tyyppi;Valmistusmaa;Vuosikerta;Alkoholi-%;Energia kcal/100 ml
581237;G.H. Martel & Co Prestige Champagne Brut;G.H. Martel & Co;0,75 l;29.99;39.85;kuohuviinit & samppanjat;Ranska;;12.0;70.0
948908;G.H. Martel & Co Prestige Magnum Champagne Brut;G.H. Martel;1,5 l;69.9;46.6;kuohuviinit & samppanjat;Ranska;;12.0;70.0
913117;G.H. Martel & Co Rosé Champagne Brut;G.H. Martel;0,75 l;45.98;61.31;kuohuviinit & samppanjat;Ranska;;12.0;70.0
927131;G.H. Martel Collection Familiale Blanc de Blancs Champagne Brut 2002;GH Martel;0,75 l;59.99;79.99;kuohuviinit & samppanjat;Ranska;2002.0;12.0;70.0
914162;"Gaston Chiquet Blanc de Blancs D'Aÿ Grand Cru Champagne Brut
";Gaston Chiquet;0,75 l;54.85;73.13;kuohuviinit & samppanjat;Ranska;;12.5;70.0
954496;Gaston Chiquet Cuvée de Réserve Brut;Champagne Gaston Chiquet;0,75 l;54.87;73.16;kuohuviinit & samppanjat;Ranska;;12.5;70.0
937008;"Gaston Chiquet Premier Cru Rosé Champagne Brut
";Gaston Chiquet;0,75 l;53.39;71.19;kuohuviinit & samppanjat;Ranska;;12.5;80.0
905723;Gaston Chiquet Special Club Champagne Brut 2013;Gaston Chiquet;0,75 l;74.47;99.29;kuohuviinit & samppanjat;Ranska;2013.0;12.5;70.0
956697;Gaston Collard Bouzy Grand Cru Rosé Champagne Brut;Champagne Gaston Collart;0,75 l;49.61;66.15;kuohuviinit & samppanjat;Ranska;;12.5;70.0
932618;Geoffroy Expression Magnum Champagne Brut;Champagne Geoffroy;1,5 l;89.56;59.71;kuohuviinit & samppanjat;Ranska;;12.5;70.0
919547;Geoffroy Expression Premier Cru Champagne Brut;Geoffroy;0,75 l;45.22;60.29;kuohuviinit & samppanjat;Ranska;;12.0;70.0
507877;Geoffroy Les Houtrants Complantés Champagne Brut Nature;Geoffroy;0,75 l;151.98;202.64;kuohuviinit & samppanjat;Ranska;;12.5;70.0
933085;Gonet Sulcova Blanc de Blancs Champagne Brut;Gonet Sulcova;0,375 l;26.51;70.69;kuohuviinit & samppanjat;Ranska;;12.5;70.0
938703;Gonet Sulcova Blanc de Blancs Champagne Brut;Gonet Sulcova;0,75 l;41.38;55.17;kuohuviinit & samppanjat;Ranska;;12.5;70.0
918085;Gonet Sulcova Cuvee Gaia Champagne Brut;Gonet Sulcova;0,75 l;68.28;91.04;kuohuviinit & samppanjat;Ranska;;12.0;70.0
910322;Gonet Sulcova Grand Cru Champagne Extra Brut;Gonet Sulcova;0,75 l;50.25;67.0;kuohuviinit & samppanjat;Ranska;;12.0;70.0
938361;Gonet Sulcova Grand Cru Millésime Champagne Brut 2010;Gonet Sulcova;0,75 l;49.41;65.88;kuohuviinit & samppanjat;Ranska;2010.0;12.0;70.0
933963;Gonet Sulcova Rose Champagne Brut;Gonet Sulcova;0,375 l;27.09;72.24;kuohuviinit & samppanjat;Ranska;;12.0;70.0
933335;Gonet Sulcova Rose Champagne Sec;Gonet Sulcova;0,75 l;43.68;58.24;kuohuviinit & samppanjat;Ranska;;12.5;80.0
933201;Gonet Sulcova Réserve Champagne Brut;Gonet Sulcova;0,75 l;38.5;51.33;kuohuviinit & samppanjat;Ranska;;12.5;70.0
570577;Gosset Champagne Extra-Brut;Gosset;0,75 l;43.9;58.4;kuohuviinit & samppanjat;Ranska;;12.0;70.0
910337;Gosset Grand Rosé Champagne Brut;Champagne Gosset;0,75 l;59.9;79.73;kuohuviinit & samppanjat;Ranska;;12.0;70.0
8429;Gosset Grande Réserve Champagne Brut;Gosset;0,75 l;52.99;70.52;kuohuviinit & samppanjat;Ranska;;12.0;70.0
927687;Gratiot Pilliére Tradition Champagne Extra Brut;Gratiot Pilliére;0,75 l;33.3;44.4;kuohuviinit & samppanjat;Ranska;;12.0;70.0
936357;Gratiot-Pillière Blanc de Blancs Champagne Brut 2012;Gratiot-Pillière;0,75 l;42.5;56.67;kuohuviinit & samppanjat;Ranska;2012.0;12.0;70.0
916457;Gratiot-Pillière Millésime Champagne Brut 2013;Gratiot-Pillière;0,75 l;43.29;57.72;kuohuviinit & samppanjat;Ranska;2013.0;12.0;70.0
932194;Gratiot-Pillière Rose Champagne Brut;Gratiot-Pillière;0,75 l;36.0;48.0;kuohuviinit & samppanjat;Ranska;;12.0;70.0
921177;Gratiot-Pillière Tradition Champagne Brut;Gratiot Pilliére;0,75 l;33.3;44.4;kuohuviinit & samppanjat;Ranska;;12.0;70.0
949387;Gremillet Blanc de Noirs Champagne Brut;Gremillet;0,75 l;44.69;59.45;kuohuviinit & samppanjat;Ranska;;12.5;80.0
955957;Gremillet Blanc de Noirs Limited Edition Champagne Brut;Champagne Gremillet;0,75 l;54.69;72.92;kuohuviinit & samppanjat;Ranska;;12.5;80.0
912697;Gremillet Champagne Brut;Gremillet;0,75 l;40.19;53.45;kuohuviinit & samppanjat;Ranska;;12.5;80.0
943707;Gremillet Cuvée Prestige Organic Champagne Brut;Gremillet;0,75 l;44.28;58.91;kuohuviinit & samppanjat;Ranska;;12.0;70.0
958315;Gustave Roché Champagne Brut;Bauchet;0,375 l;14.98;39.68;kuohuviinit & samppanjat;Ranska;;12.5;80.0
503797;Gustave Roché Champagne Brut;Bauchet;0,75 l;26.98;35.84;kuohuviinit & samppanjat;Ranska;;12.5;70.0
957551;Guy Charlemagne Champagne Brut Nature;Guy Charlemagne;0,75 l;48.83;65.11;kuohuviinit & samppanjat;Ranska;;12.0;70.0
929661;Guy Charlemagne Grand Cru Blanc De Blancs Champagne Brut;Guy Charlemagne;0,75 l;52.96;70.61;kuohuviinit & samppanjat;Ranska;;12.0;70.0
949127;Guy Charlemagne Mesnillèsime Champagne Brut  2008;Champagne Guy Charlemagne;0,75 l;77.32;103.09;kuohuviinit & samppanjat;Ranska;2008.0;12.0;70.0
586423;Heidsieck Monopole Blue Top Champagne Brut;Heidsieck;0,2 l;10.99;54.45;kuohuviinit & samppanjat;Ranska;;12.0;70.0
912927;Henriot Blanc de Blancs Champagne Brut;Henriot;0,75 l;64.98;86.64;kuohuviinit & samppanjat;Ranska;;12.0;70.0
565747;Henriot Cuvée Hemera 2005;Champagne Henriot;0,75 l;179.0;238.67;kuohuviinit & samppanjat;Ranska;2005.0;12.0;70.0
950333;Henriot Rosé Champagne Brut;Champagne Henriot;0,75 l;64.98;86.64;kuohuviinit & samppanjat;Ranska;;12.0;70.0
534517;Hervieux-Dumez Spécial Club Champagne Brut 2014;Hervieux-Dumez;0,75 l;49.3;65.6;kuohuviinit & samppanjat;Ranska;2014.0;12.0;70.0
952072;Hugues Godme Blanc de Noirs Grand Cru Champagne Extra Brut;Hugues Godme;0,75 l;68.28;91.04;kuohuviinit & samppanjat;Ranska;;12.0;70.0
938734;Hugues Godme Les Alouettes Saint Bets Premier Cru Champagne Extra Brut 2010;Hugues Godme;0,75 l;104.42;139.23;kuohuviinit & samppanjat;Ranska;2010.0;12.0;70.0
939978;Hugues Godme Les Champs Saint Martin Grand Cru Champagne Extra Brut 2010;Hugues Godme;0,75 l;104.42;139.23;kuohuviinit & samppanjat;Ranska;2010.0;12.0;70.0
927583;Huré Frères 4 Éléments Chardonnay Champagne Extra Brut 2015;Champagne Huré Frères;0,75 l;77.99;103.99;kuohuviinit & samppanjat;Ranska;2015.0;12.0;70.0
958473;Huré Frères 4 Éléments Pinot Meunier Champagne Extra Brut 2015;Champagne Huré Frères;0,75 l;77.99;103.99;kuohuviinit & samppanjat;Ranska;2015.0;12.0;70.0
921586;Huré Frères Inattendue Blanc de Blancs Champagne Extra Brut 2015;Huré Frères;0,75 l;49.98;66.64;kuohuviinit & samppanjat;Ranska;2015.0;12.0;70.0
947205;Huré Frères Instantanée Blanc de Noirs Champagne Extra Brut 2013;Champagne Huré Frères;0,75 l;48.99;65.32;kuohuviinit & samppanjat;Ranska;2013.0;12.0;70.0
943055;Huré Frères Invitation Champagne Brut;Huré Frères;0,75 l;39.98;53.31;kuohuviinit & samppanjat;Ranska;;12.0;70.0
929555;Huré Frères Mémoire Champagne Extra Brut;Huré Frères;0,75 l;68.49;91.32;kuohuviinit & samppanjat;Ranska;;12.0;70.0
942951;J-M Sélèque Quintette Champagne Extra Brut;J-M Sélèque;0,75 l;49.98;66.64;kuohuviinit & samppanjat;Ranska;;12.5;70.0
944132;J-M Sélèque Soliste Infusion Meunier Champagne Rosé Extra Brut 2013;J-M Sélèque;0,75 l;74.99;99.99;kuohuviinit & samppanjat;Ranska;2013.0;13.0;80.0
943685;J-M Sélèque Soliste Meunier Champagne Extra Brut 2015;J-M Sélèque;0,75 l;74.99;99.99;kuohuviinit & samppanjat;Ranska;2015.0;12.5;70.0
941846;J-M Sélèque Soliste Pinot Noir Champagne Extra Brut 2015;J-M Sélèque;0,75 l;74.95;99.93;kuohuviinit & samppanjat;Ranska;2015.0;12.5;70.0
938276;J. Charpentier Blanc de Blancs Champagne Brut;J. Charpentier;0,75 l;39.98;53.17;kuohuviinit & samppanjat;Ranska;;12.0;70.0
558187;J. Charpentier Millésime Champagne Brut 2015;J. Charpentier;0,75 l;40.95;54.47;kuohuviinit & samppanjat;Ranska;2015.0;12.0;70.0
567337;J. Charpentier Prestige Champagne Brut;J. Charpentier;0,75 l;41.98;55.97;kuohuviinit & samppanjat;Ranska;;12.0;70.0
579547;J. de Telmont Grand Couronnement Blanc De Blancs Millésime Champagne Brut 2006;De Telmont;0,75 l;79.99;106.52;kuohuviinit & samppanjat;Ranska;2006.0;12.0;70.0
581217;J. de Telmont Grand Rosé Champagne Brut;J. de Telmont;0,75 l;49.99;66.52;kuohuviinit & samppanjat;Ranska;;12.0;70.0
570447;J. de Telmont Sans Soufre Ajouté Champagne Extra Brut;De Telmont;0,75 l;59.71;79.61;kuohuviinit & samppanjat;Ranska;;12.0;70.0
940081;JM Sélèque Solessence Champagne Extra Brut;JM Sélèque Champagne;0,75 l;42.5;56.67;kuohuviinit & samppanjat;Ranska;;12.5;70.0
916847;Jacquart Blanc de Blancs Champagne Brut 2009;Alliance de Champagne;0,75 l;64.9;86.53;kuohuviinit & samppanjat;Ranska;2009.0;12.5;70.0
912977;Jacquart Cuvée Alpha Champagne Brut 2006;Alliance de Champagne;0,75 l;135.0;180.0;kuohuviinit & samppanjat;Ranska;2006.0;12.5;70.0
955277;Jacquart Mosaïque Champagne Brut;Jacquart;0,75 l;39.98;53.17;kuohuviinit & samppanjat;Ranska;;12.5;70.0
935547;Jacquart Rosé Champagne Brut;Jacquart;0,75 l;54.0;72.0;kuohuviinit & samppanjat;Ranska;;12.5;70.0
554417;Jacquesson Dizy - Corne Bautray Champagne Extra-Brut 2007;Jacquesson;0,75 l;150.0;200.0;kuohuviinit & samppanjat;Ranska;2007.0;12.0;70.0
